user_id,group_pp
2875470,1
2880258,3
2883182,3
2891354,3
2897262,1
2907926,2
2911986,2
2913326,2
2914966,3
2922014,1
2924026,1
2925510,1
2938618,1
2947382,2
2955538,2
2977706,2
2981350,1
2983838,1
2991542,3
2996522,3
3018262,1
3029962,1
3038182,1
3041754,1
3045006,2
3047834,2
3051902,3
3054150,1
3067618,2
3068178,1
3073834,3
3077170,3
3083906,1
3085994,3
3096466,2
3103018,3
3107302,1
3112136,2
3142324,2
3143412,1
3163860,1
3183908,1
3197452,3
3206864,1
3210528,2
3216768,1
3220544,2
3224420,1
3227440,3
3245308,2
3254204,2
3270876,3
3281424,3
3293052,1
3295472,1
3297396,2
3305704,1
3310796,1
3311164,3
3318496,3
3321576,3
3328652,2
3333328,1
3345144,2
3352656,3
3365448,2
3371464,2
3378552,2
3388536,2
3394160,2
3408060,1
3410552,1
3410688,2
3419704,1
3429772,1
3439284,2
3442864,2
3445860,1
3461484,3
3464060,3
3488488,3
3490764,1
3516140,1
3522228,3
3525596,3
3556260,2
3559724,2
3570724,3
3574984,1
3587784,1
3594144,3
3602064,2
3610728,1
3628356,3
3634092,3
3640512,3
3645792,1
3655756,3
3658620,1
3660700,1
3661268,1
3665332,3
3671508,3
3675644,2
3678856,3
3681168,2
3689564,1
3691536,2
3737128,3
3771244,1
3780448,1
3783412,1
3785052,3
3795864,3
3840748,1
3870700,3
3878352,3
3881572,2
3884296,1
3892624,3
3899376,1
3915548,2
3931816,2
3933664,1
3939060,1
3940624,2
3966352,1
3967092,3
3982384,3
4003832,2
4009832,3
4019472,3
4022264,3
4025204,1
4030960,3
4046752,1
4049928,3
4063524,3
4065344,2
4069196,2
4069332,1
4070900,2
4074560,2
4080952,1
4087284,2
4100192,3
4109880,1
4134256,1
4136244,3
4148440,3
4148624,3
4152464,2
4156588,1
4159880,1
4185952,2
4188932,3
4189824,1
4222740,3
4242932,3
4251744,1
4272336,1
4272416,1
4272776,2
4274444,2
4283540,1
4287712,3
4301352,3
4312424,3
4335904,3
4346436,2
4350720,3
4353456,2
4373660,2
4373728,1
4377344,3
4388736,2
4391964,1
4399356,1
4403956,3
4413536,3
4421804,1
4422800,1
4430024,3
4436404,3
4452740,3
4462480,2
4467176,2
4485156,1
4493208,3
4496132,2
4513584,1
4515172,2
4516276,3
4518148,1
4524308,1
4526736,1
4527580,2
4530180,2
4538436,1
4539196,1
4549076,1
4550264,1
4564692,2
4582220,1
4584036,1
4595920,1
4606984,3
4609260,1
4635100,2
4635432,1
4643344,2
4647744,2
4671828,2
4688164,2
4692420,3
4698940,3
4702544,2
4709204,2
4712984,2
4744044,1
4748156,2
4752536,3
4774700,3
4787172,2
4797488,3
4801228,2
4803920,1
4821580,1
4840908,2
4842144,3
4843524,2
4850360,2
4858572,2
4871384,1
4875360,2
4879044,2
4933140,2
4933252,3
4933696,1
4942176,3
4950468,1
4969384,1
4975728,2
4976356,3
4984816,2
4992912,1
5006508,3
5008244,3
5009280,1
5015256,2
5016304,2
5016972,3
5034996,3
5037440,3
5041812,3
5054288,1
5078544,2
5091892,3
5125192,3
5125520,1
5136348,1
5142296,1
5142368,2
5147184,2
5153052,3
5156108,2
5158764,3
5161828,2
5166792,2
5171880,3
5177164,2
5180228,1
5181904,1
5200204,2
5217412,2
5221044,2
5235352,3
5244756,3
5251088,1
5255632,2
5256372,3
5262192,3
5274608,2
5274624,2
5284532,1
5291476,1
5298716,3
5304644,2
5316444,2
5318012,3
5347300,1
5356520,2
5362896,2
5380660,2
5383060,3
5392152,2
5394960,1
5408884,1
5415576,2
5417340,3
5419704,2
5431552,1
5431652,1
5434832,2
5436144,3
5445164,2
5453208,2
5470320,2
5478456,1
5479064,1
5482876,1
5484248,2
5502676,1
5503148,3
5512660,1
5538032,1
5554492,2
5566000,1
5567488,3
5569036,1
5572984,3
5584508,3
5595320,2
5629788,3
5635412,2
5636896,2
5641488,1
5642236,1
5646356,1
5653760,3
5661460,2
5668960,3
5677920,3
5681052,2
5696952,3
5698156,1
5706440,3
5721736,2
5726380,2
5752984,1
5753900,1
5762632,1
5763500,3
5765988,1
5766352,3
5771076,3
5775040,2
5779180,2
5793212,1
5793400,1
5797452,2
5805980,2
5806192,3
5810432,3
5810700,3
5817156,1
5820388,3
5826312,1
5829136,2
5832204,3
5833456,2
5844256,2
5848602,1
5856018,1
5867490,2
5876808,2
5910550,3
5949710,3
5951934,3
5955142,2
5962198,3
5966638,2
5974134,3
5984758,1
5991942,3
6007104,1
6032616,1
6042848,1
6085288,1
6126104,3
6127368,1
6129392,3
6135896,3
6163424,2
6169232,3
6188296,2
6191208,1
6208128,1
6215224,2
6216640,2
6222624,1
6260152,3
6261592,3
6275488,2
6284512,3
6298976,1
6308072,2
6322360,2
6329296,1
6339504,1
6348192,3
6364344,2
6383968,1
6411344,2
6413200,1
6413696,2
6432720,3
6444344,1
6444888,1
6445384,2
6464912,3
6466040,2
6515200,3
6521968,3
6526944,1
6540008,1
6547864,3
6564968,3
6580784,2
6613680,1
6614408,1
6625360,2
6640888,1
6650400,1
6668584,3
6670528,2
6671608,2
6684992,3
6699864,1
6700496,2
6713488,1
6716320,2
6731232,1
6734888,2
6743144,1
6766936,2
6778264,1
6780144,1
6784456,1
6787640,3
6799120,1
6826024,2
6830440,3
6849896,1
6877848,2
6882232,1
6928296,1
6961168,1
6961680,3
6968040,1
6968728,3
6974480,2
6997032,2
7005552,2
7016280,1
7020664,2
7030312,1
7056544,2
7083294,1
7084158,1
7084270,2
7089206,3
7091414,1
7117982,1
7119926,1
7157382,2
7159166,1
7186630,1
7204286,2
7221454,2
7231830,1
7234390,2
7237094,3
7255094,2
7270590,1
7271262,1
7281774,3
7281822,1
7293406,3
7296030,1
7312342,1
7357910,1
7361110,2
7362086,2
7423430,3
7436886,2
7437894,3
7446062,3
7472382,3
7473670,2
7479270,3
7487190,1
7488950,1
7492190,2
7493854,1
7497190,3
7503406,1
7522006,3
7539982,1
7562414,1
7591694,1
7594494,2
7618406,3
7625910,1
7659446,1
7661702,1
7670646,2
7679934,3
7690606,3
7694414,1
7707342,3
7743374,2
7767470,1
7772814,3
7774558,2
7776270,2
7778030,2
7817366,1
7828742,1
7829566,1
7834598,1
7843158,3
7876600,2
7882456,1
7900720,1
7902800,3
7904200,3
7920120,3
7921720,3
7943128,3
7951744,1
7979624,1
7982832,1
7997800,2
8005480,2
8020768,3
8026336,1
8038832,1
8051752,2
8071168,1
8082360,2
8101584,3
8105840,1
8112120,3
8114032,1
8146608,3
8164816,2
8183856,1
8188720,2
8201472,2
8204736,1
8210824,1
8227848,1
8235632,2
